"full_name","suburb","speed","st_asgeojson"
"Long Bay Dr","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.75194,-36.69382],[174.75187,-36.69373],[174.75167,-36.69357],[174.75161,-36.69347]]}"
"Oregon Park","Dairy Flat","80","{""type"":""LineString"",""coordinates"":[[174.66088,-36.67188],[174.6604,-36.66885]]}"
"Clensmore Pl","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.74231,-36.69328],[174.74227,-36.69304],[174.74223,-36.69291],[174.74214,-36.69273]]}"
"Hardens Ln","Paremoremo","50","{""type"":""LineString"",""coordinates"":[[174.6616,-36.75638],[174.66152,-36.75635],[174.66144,-36.75634],[174.66139,-36.75635],[174.66134,-36.75638],[174.66114,-36.7566],[174.66107,-36.75665],[174.661,-36.75669],[174.6609,-36.75672],[174.66081,-36.75674],[174.66071,-36.75673],[174.66062,-36.7567],[174.66055,-36.75666],[174.66049,-36.7566],[174.66043,-36.75652],[174.66026,-36.75621],[174.66022,-36.75615],[174.66016,-36.7561],[174.66009,-36.75606],[174.65986,-36.75592],[174.65976,-36.75584],[174.65968,-36.75575],[174.65962,-36.75564],[174.65958,-36.75552],[174.65952,-36.75527],[174.65947,-36.75517],[174.65939,-36.75507],[174.65929,-36.755],[174.65882,-36.75476],[174.65859,-36.75462],[174.65786,-36.75417],[174.65775,-36.75408],[174.65766,-36.75399],[174.65759,-36.7539],[174.65753,-36.7538],[174.65751,-36.75371]]}"
"Beach Rd","Waiake","50","{""type"":""LineString"",""coordinates"":[[174.74759,-36.70865],[174.74768,-36.70858],[174.74777,-36.7085],[174.74786,-36.70841]]}"
"Vega Pl","Rosedale","50","{""type"":""LineString"",""coordinates"":[[174.73163,-36.7487],[174.7313,-36.74831],[174.73121,-36.74822],[174.73111,-36.74815]]}"
"Marquette Ave","Albany","50","{""type"":""LineString"",""coordinates"":[[174.70006,-36.7389],[174.7006,-36.73883]]}"
"Centorian Dr","Windsor Park","50","{""type"":""LineString"",""coordinates"":[[174.73638,-36.74296],[174.73647,-36.74295],[174.73668,-36.74294],[174.73691,-36.74296]]}"
"Burnside Ct","Rosedale","50","{""type"":""LineString"",""coordinates"":[[174.70799,-36.74217],[174.70783,-36.74196]]}"
"Tonkin Dr","Sunnynook","50","{""type"":""LineString"",""coordinates"":[[174.73989,-36.75403],[174.7396,-36.7538]]}"
"Mizpah Rd","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.74661,-36.70923],[174.74648,-36.70919],[174.74637,-36.70916]]}"
"Ridge Rd","Coatesville","80","{""type"":""LineString"",""coordinates"":[[174.6558,-36.74047],[174.656,-36.74031],[174.65618,-36.74015]]}"
"Marine Pde S","Rosedale","50","{""type"":""LineString"",""coordinates"":[[174.72649,-36.75073],[174.72642,-36.75062]]}"
"Paremoremo Rd","Lucas Heights","80","{""type"":""LineString"",""coordinates"":[[174.67513,-36.73931],[174.67512,-36.73895],[174.67511,-36.73865],[174.67511,-36.73854],[174.67511,-36.73844],[174.67512,-36.73833],[174.67514,-36.73823],[174.67518,-36.73811],[174.67524,-36.73797],[174.67533,-36.73781],[174.67543,-36.73766],[174.67554,-36.7375],[174.67572,-36.73723],[174.67578,-36.73712],[174.67582,-36.73702],[174.67586,-36.7369],[174.67589,-36.73676],[174.67591,-36.73661]]}"
"Dairy Stream Rd","Dairy Flat","80","{""type"":""LineString"",""coordinates"":[[174.64732,-36.67057],[174.64787,-36.66925],[174.6479,-36.66909],[174.64788,-36.66891]]}"
"Caversham Dr","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.73036,-36.70095],[174.7303,-36.70084],[174.73021,-36.70073],[174.73005,-36.70062],[174.72988,-36.70053],[174.72974,-36.70048],[174.72958,-36.70045],[174.72944,-36.70044],[174.72921,-36.70046],[174.72866,-36.70058],[174.72847,-36.7006],[174.72828,-36.7006],[174.72801,-36.70057]]}"
"Holt Ave","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.74053,-36.70852],[174.74029,-36.70849],[174.74002,-36.70846],[174.73945,-36.7084]]}"
"Glamorgan Dr","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.73776,-36.70101],[174.73792,-36.70089]]}"
"Pin Oak Dr","Schnapper Rock","50","{""type"":""LineString"",""coordinates"":[[174.68999,-36.75455],[174.69016,-36.75447],[174.69034,-36.75435],[174.69082,-36.75399]]}"
"Newbury Pl","Schnapper Rock","50","{""type"":""LineString"",""coordinates"":[[174.68372,-36.75295],[174.68307,-36.75286],[174.68282,-36.75282],[174.6826,-36.75276],[174.68237,-36.75267],[174.68194,-36.75246],[174.68186,-36.75239],[174.68183,-36.75233],[174.68182,-36.75224],[174.68185,-36.75214],[174.682,-36.75194]]}"
"Unsworth Dr","Unsworth Heights","50","{""type"":""LineString"",""coordinates"":[[174.7156,-36.75996],[174.71559,-36.75976],[174.71557,-36.75959],[174.71553,-36.7594]]}"
"Constellation Dr","Rosedale","50","{""type"":""LineString"",""coordinates"":[[174.73571,-36.74663],[174.73746,-36.74568]]}"
"Dianthus Pl","Browns Bay","50","{""type"":""LineString"",""coordinates"":[[174.73047,-36.72457],[174.73137,-36.72457]]}"
"Rosedale Rd","Pinehill","50","{""type"":""LineString"",""coordinates"":[[174.72216,-36.73818],[174.72241,-36.73799],[174.72262,-36.73785],[174.72281,-36.73772],[174.72301,-36.73759],[174.72442,-36.73666]]}"
"Glenmore Rd","Coatesville","80","{""type"":""LineString"",""coordinates"":[[174.64691,-36.73299],[174.64665,-36.73303],[174.64655,-36.73306],[174.64647,-36.7331],[174.64642,-36.73316],[174.64637,-36.73327],[174.64628,-36.73337],[174.64616,-36.73346],[174.64607,-36.73351],[174.64596,-36.73353],[174.64563,-36.73357],[174.64546,-36.73357],[174.64532,-36.73357],[174.6452,-36.73352],[174.64511,-36.73346],[174.64502,-36.73339],[174.64409,-36.73258],[174.64393,-36.73238],[174.64381,-36.7322],[174.6437,-36.73199],[174.64362,-36.73179],[174.64355,-36.73165],[174.64344,-36.73152],[174.64323,-36.73134],[174.64313,-36.73124]]}"
"Cockayne Cres","Sunnynook","50","{""type"":""LineString"",""coordinates"":[[174.73796,-36.75922],[174.73835,-36.75913],[174.7387,-36.75891],[174.73894,-36.75861],[174.73912,-36.75833]]}"
"Kerema Way","Schnapper Rock","50","{""type"":""LineString"",""coordinates"":[[174.67911,-36.76055],[174.67902,-36.76047],[174.67888,-36.76038],[174.67874,-36.76031],[174.67836,-36.76015],[174.67826,-36.76009],[174.67818,-36.76],[174.67813,-36.7599],[174.67811,-36.7598],[174.67811,-36.75954]]}"
"Oakway Dr","Schnapper Rock","50","{""type"":""LineString"",""coordinates"":[[174.69106,-36.75227],[174.69116,-36.75193],[174.69125,-36.75168]]}"
"Vinewood Dr","Albany","50","{""type"":""LineString"",""coordinates"":[[174.68835,-36.73832],[174.68778,-36.73786]]}"
"John Downs Dr","Browns Bay","50","{""type"":""LineString"",""coordinates"":[[174.72913,-36.71814],[174.72892,-36.71786]]}"
"Columbia Pl","Albany","50","{""type"":""LineString"",""coordinates"":[[174.699,-36.7418],[174.69899,-36.74165],[174.69897,-36.74154],[174.69892,-36.74143],[174.69881,-36.74127]]}"
"Aberley Rd","Schnapper Rock","50","{""type"":""LineString"",""coordinates"":[[174.682,-36.75194],[174.68183,-36.75185],[174.68164,-36.75173],[174.68145,-36.75157],[174.68114,-36.75124],[174.68102,-36.75112],[174.68088,-36.75103],[174.68075,-36.75097],[174.68058,-36.75091],[174.68041,-36.75088],[174.68025,-36.75087],[174.68013,-36.75088],[174.67996,-36.75091]]}"
"Altair Pl","Windsor Park","50","{""type"":""LineString"",""coordinates"":[[174.73888,-36.74825],[174.73807,-36.74764]]}"
"Beach Rd","Murrays Bay","10","{""type"":""LineString"",""coordinates"":[[174.75,-36.72834],[174.74988,-36.72833]]}"
"Wright Rd","Dairy Flat","70","{""type"":""LineString"",""coordinates"":[[174.69779,-36.69198],[174.6978,-36.69191]]}"
"Channel View Rd","Campbells Bay","50","{""type"":""LineString"",""coordinates"":[[174.75484,-36.74537],[174.75458,-36.74538],[174.7542,-36.74536],[174.75407,-36.74537],[174.75396,-36.74541],[174.75357,-36.74561],[174.75343,-36.74565],[174.75331,-36.74566],[174.75317,-36.74564],[174.75305,-36.74561],[174.75242,-36.74536]]}"
"Athena Dr","Totara Vale","50","{""type"":""LineString"",""coordinates"":[[174.72986,-36.75818],[174.72973,-36.75815]]}"
"Awanohi Rd","Dairy Flat","100","{""type"":""LineString"",""coordinates"":[[174.69012,-36.68734],[174.69002,-36.68731],[174.68985,-36.68724]]}"
